movie_id,rating
97787,PG
64711,NR
618353,R
53220,NR
16808,G
39102,
31135,G
642121,
587563,
52971,
436931,NR
46929,G
37280,
49802,
45974,G
45287,
97375,PG-13
257512,PG-13
39204,PG-13
77617,PG-13
41066,
433422,PG-13
20558,G
13158,R
36218,PG
364111,
919,R
15653,G
12233,G
1458844,R
845387,PG-13
842859,
776660,
678458,
80357,
39144,
50087,G
222715,
604605,
36079,
553839,
47759,
13850,G
11047,
51942,R
39230,NR
31718,G
83091,
39202,PG-13
37211,NR
255413,PG-13
16390,G
12903,G
14258,
119321,G
12593,NC-17
13355,NR
44251,NR
2791,NR
10715,PG
16355,G
980431,
896499,
862491,PG-13
839033,PG-13
77304,
185025,G
44725,PG-13
52952,
34228,G
615165,
134103,NR
682153,
632632,
571265,G
357407,
655431,
483455,PG-13
559566,R
13757,NR
70841,
511082,NR
18837,
456611,NR
28764,PG-13
39207,PG-13
59298,
16516,PG
39203,PG-13
41394,G
15035,PG
211755,PG-13
75624,PG-13
19405,G
8868,
196750,R
123,PG
12610,PG
45162,PG-13
1322752,PG
1304434,NR
433157,PG-13
857862,
843906,
43967,NR
464198,
53224,NR
12609,
10228,G
704264,NR
85444,
44727,PG-13
25831,G
38577,
44468,
36129,
461615,R
452970,PG-13
526426,NC-17
507569,PG-13
559562,R
14906,NR
52795,
70089,
39229,NR
45288,
31112,G
13759,G
154738,
378106,PG-13
333622,
432131,
71172,
257475,
44730,PG-13
16990,PG-13
152044,PG-13
152042,PG-13
50388,
21956,G
135531,PG-13
36728,PG-13
33875,G
257346,PG-13
14444,G
13205,G
11114,G
10010,G
20760,PG
1146972,NR
831405,R
46126,NR
32539,
541867,PG-13
37585,
73901,NR
11625,
13417,G
66105,
44728,PG-13
35435,
626767,
162804,
264170,
680952,
510242,R
460399,PG-13
347183,
483685,
17922,
245538,PG-13
21356,PG
45295,
33539,G
16767,R
239367,
17421,PG
34942,G
15981,
116776,PG
19165,G
25913,G
50723,PG-13
212168,R
13190,NR
28032,G
15997,G
18937,G
334376,
21316,G
1326106,NR
1086591,NR
1056803,NR
887357,PG-13
32534,
106112,NR
74961,NR
88765,NR
42518,G
13676,PG
13654,G
629014,
566555,PG-13
15718,G
81850,
33534,
184608,
48246,G
23452,
24554,G
19164,G
21078,G
19576,
240341,R
10991,G
75629,PG-13
16690,G
382322,R
39354,
1399914,PG
1203329,R
1145612,PG-13
1144107,
938567,
828900,R
426156,G
566466,
461763,
100246,NR
39104,PG
34933,NR
67661,
462677,
514710,PG
154727,
23521,G
438058,PG-13
316873,PG-13
228805,PG-13
24251,G
38594,
88557,G
33719,G
239523,PG-13
594188,PG-13
19004,G
20455,PG
408648,PG-13
12242,G
1230393,R
42025,NR
989730,PG-13
883768,NR
32531,
