genre,movie_id
Animation,129
 Family,129
 Fantasy,129
Animation,1333100
 Action,1333100
 Adventure,1333100
 Drama,1333100
Animation,12477
 Drama,12477
 War,12477
Animation,533514
 Drama,533514
 Fantasy,533514
 Romance,533514
Animation,1244492
 Drama,1244492
Animation,2011
 Drama,2011
Documentary,680813
 Animation,680813
Animation,441130
 Family,441130
 Adventure,441130
 Fantasy,441130
Animation,149871
 Drama,149871
 Fantasy,149871
Adventure,128
 Fantasy,128
 Animation,128
Animation,372058
 Romance,372058
 Drama,372058
Fantasy,8392
 Animation,8392
 Family,8392
Animation,283566
 Action,283566
 Science Fiction,283566
 Drama,283566
Animation,378064
 Drama,378064
 Romance,378064
Animation,8587
 Family,8587
 Drama,8587
Animation,86517
 Drama,86517
 Comedy,86517
Animation,13377
 Family,13377
 Comedy,13377
Animation,303867
 Drama,303867
 Science Fiction,303867
Animation,381028
 Crime,381028
 Documentary,381028
Animation,10386
 Drama,10386
 Family,10386
 Science Fiction,10386
Animation,489412
 Comedy,489412
Animation,652837
 Drama,652837
 Romance,652837
Mystery,40662
 Crime,40662
 Animation,40662
Animation,504253
 Drama,504253
 Romance,504253
Animation,22504
 Family,22504
 Fantasy,22504
Animation,362585
 Fantasy,362585
 Mystery,362585
Animation,126319
 Family,126319
 Crime,126319
 Drama,126319
 Comedy,126319
Animation,8885
 Documentary,8885
 Drama,8885
 War,8885
Animation,110420
 Family,110420
 Drama,110420
 Fantasy,110420
Animation,183011
 Action,183011
 Science Fiction,183011
Adventure,81
 Animation,81
 Fantasy,81
Fantasy,856
 Animation,856
 Comedy,856
 Crime,856
Animation,1311031
 Action,1311031
 Fantasy,1311031
Animation,997317
 Comedy,997317
 Romance,997317
Animation,810693
 Action,810693
 Fantasy,810693
Family,14813
 Animation,14813
Fantasy,4935
 Animation,4935
 Adventure,4935
Animation,508883
 Fantasy,508883
 Drama,508883
Drama,713776
 Animation,713776
Animation,572154
 Romance,572154
 Drama,572154
 Fantasy,572154
Animation,618344
 Action,618344
 Adventure,618344
 Fantasy,618344
TV Movie,537061
 Animation,537061
 Family,537061
 Adventure,537061
 Fantasy,537061
Animation,13187
 Family,13187
 Comedy,13187
 TV Movie,13187
Animation,36865
 Comedy,36865
 Science Fiction,36865
 Mystery,36865
 Drama,36865
Animation,9662
 Comedy,9662
 Drama,9662
 Family,9662
Animation,15080
 Drama,15080
 Romance,15080
Family,110416
 Animation,110416
 Fantasy,110416
Adventure,10515
 Fantasy,10515
 Animation,10515
 Action,10515
 Family,10515
Animation,12429
 Fantasy,12429
 Family,12429
Animation,838240
 Drama,838240
 Comedy,838240
 Science Fiction,838240
Animation,812225
 Fantasy,812225
 Action,812225
 Adventure,812225
Animation,682012
 Drama,682012
 Family,682012
Animation,11621
 Adventure,11621
 Fantasy,11621
Animation,10494
 Thriller,10494
Family,13353
 Animation,13353
 TV Movie,13353
 Comedy,13353
Animation,812
 Family,812
 Adventure,812
 Fantasy,812
 Romance,812
Animation,20722
 Drama,20722
Animation,573730
 Adventure,573730
 Fantasy,573730
 Mystery,573730
Animation,508965
 Family,508965
 Comedy,508965
Animation,635302
 Action,635302
 Fantasy,635302
Animation,476292
 Fantasy,476292
 Drama,476292
Animation,10895
 Family,10895
 Fantasy,10895
Fantasy,408
 Animation,408
 Family,408
Mystery,212162
 Animation,212162
 Fantasy,212162
Animation,9081
 Drama,9081
 Fantasy,9081
Animation,37797
 Drama,37797
 Family,37797
Animation,149
 Science Fiction,149
 Action,149
Animation,916224
 Drama,916224
 Adventure,916224
 Fantasy,916224
Animation,712454
 Adventure,712454
 Mystery,712454
Animation,16234
 Action,16234
 Science Fiction,16234
 Thriller,16234
Animation,21712
 Romance,21712
 Comedy,21712
 Drama,21712
 Fantasy,21712
 Adventure,21712
Animation,13398
 Drama,13398
 Comedy,13398
Animation,568012
 Action,568012
 Adventure,568012
 Fantasy,568012
Drama,378108
 Animation,378108
 Romance,378108
 War,378108
 History,378108
Animation,33320
 Drama,33320
 Romance,33320
Animation,41201
