genre,movie_id
Animation,140300
 Action,140300
 Adventure,140300
 Comedy,140300
 Family,140300
Animation,1117857
 Family,1117857
 Comedy,1117857
 Adventure,1117857
 Fantasy,1117857
Animation,26809
 Fantasy,26809
 Family,26809
Adventure,77459
 Animation,77459
 Comedy,77459
 Family,77459
 Fantasy,77459
Animation,81188
 Family,81188
 Fantasy,81188
 Action,81188
 Adventure,81188
Animation,62177
 Family,62177
 Fantasy,62177
 Adventure,62177
Animation,286192
 Family,286192
Adventure,46247
 Animation,46247
 Comedy,46247
 Family,46247
 Science Fiction,46247
Animation,13925
 Comedy,13925
Fantasy,79000
 Animation,79000
Animation,38055
 Action,38055
 Comedy,38055
 Family,38055
 Science Fiction,38055
Animation,93456
 Comedy,93456
 Family,93456
Animation,1432547
 Action,1432547
 Mystery,1432547
 Science Fiction,1432547
Adventure,1022787
 Animation,1022787
 Comedy,1022787
 Family,1022787
 Science Fiction,1022787
Family,539681
 Comedy,539681
 Adventure,539681
 Animation,539681
 Science Fiction,539681
Family,431580
 Animation,431580
 Adventure,431580
 Comedy,431580
 Fantasy,431580
Animation,404368
 Family,404368
 Adventure,404368
 Science Fiction,404368
 Comedy,404368
 Action,404368
Animation,24528
 Action,24528
 Thriller,24528
Animation,283161
Animation,15906
 Family,15906
 Romance,15906
Action,133121
 Animation,133121
 Science Fiction,133121
 Horror,133121
Animation,396263
 Science Fiction,396263
 Action,396263
Animation,75258
 Family,75258
 Fantasy,75258
 Adventure,75258
Animation,13053
 Family,13053
 Adventure,13053
 Comedy,13053
Animation,901362
 Family,901362
 Music,901362
 Fantasy,901362
 Comedy,901362
 Adventure,901362
Animation,13981
 Action,13981
 Thriller,13981
 Science Fiction,13981
Animation,550205
 Family,550205
 Comedy,550205
 Fantasy,550205
 Romance,550205
 Adventure,550205
Animation,560044
 Comedy,560044
 Family,560044
 Fantasy,560044
Animation,431693
 Action,431693
 Adventure,431693
 Comedy,431693
 Family,431693
Animation,523777
 Action,523777
 Adventure,523777
 Comedy,523777
 Family,523777
 Science Fiction,523777
Animation,77887
 Family,77887
 Comedy,77887
Animation,13283
 Family,13283
Animation,204436
 Romance,204436
 Adventure,204436
 Drama,204436
 Fantasy,204436
Animation,44683
 Adventure,44683
 Family,44683
 Fantasy,44683
Adventure,297270
 Animation,297270
 Family,297270
Comedy,227973
 Animation,227973
 Family,227973
Animation,1075794
 Comedy,1075794
 Family,1075794
Animation,976573
 Family,976573
 Romance,976573
 Fantasy,976573
 Comedy,976573
Animation,844075
 Adventure,844075
 Fantasy,844075
 Comedy,844075
Animation,718789
 Science Fiction,718789
 Family,718789
 Adventure,718789
Animation,663558
 Fantasy,663558
 Action,663558
Animation,46195
 Adventure,46195
 Comedy,46195
 Family,46195
Animation,12222
 Comedy,12222
 Family,12222
 Adventure,12222
 Fantasy,12222
Animation,1267
 Comedy,1267
 Family,1267
 Science Fiction,1267
 Adventure,1267
Animation,8916
 Comedy,8916
 Adventure,8916
Animation,13931
 Comedy,13931
 Family,13931
Adventure,83201
 Animation,83201
 Comedy,83201
 Family,83201
Action,438148
 Animation,438148
 Adventure,438148
 Comedy,438148
 Family,438148
 Fantasy,438148
 Science Fiction,438148
Animation,529203
 Family,529203
 Adventure,529203
 Fantasy,529203
 Comedy,529203
Romance,573699
 Animation,573699
 Fantasy,573699
Animation,13285
 Family,13285
 Adventure,13285
 Fantasy,13285
Animation,15015
 Family,15015
Animation,9408
 Comedy,9408
 Family,9408
Adventure,7518
 Animation,7518
 Comedy,7518
 Family,7518
Animation,417859
 Family,417859
 Fantasy,417859
 Adventure,417859
 Comedy,417859
Animation,22794
 Comedy,22794
 Family,22794
Animation,49519
 Adventure,49519
 Family,49519
 Comedy,49519
Animation,335797
 Music,335797
 Comedy,335797
 Family,335797
Animation,1139829
 Family,1139829
 Comedy,1139829
 Fantasy,1139829
 Adventure,1139829
Animation,645757
 Comedy,645757
 Family,645757
 Fantasy,645757
 Adventure,645757
Family,675445
 Comedy,675445
 Adventure,675445
 Animation,675445
Adventure,5255
 Animation,5255
 Family,5255
 Fantasy,5255
Animation,9297
 Comedy,9297
 Family,9297
 Fantasy,9297
Animation,17963
 Adventure,17963
 Comedy,17963
 Family,17963
Animation,326359
 Family,326359
 Adventure,326359
 Comedy,326359
Animation,456154
 Family,456154
Animation,454640
 Adventure,454640
 Comedy,454640
 Family,454640
Animation,54551
 Family,54551
 Comedy,54551
Animation,15016
 Family,15016
Family,177271
 Animation,177271
 Adventure,177271
 Comedy,177271
Animation,170522
 Comedy,170522
 Adventure,170522
 Family,170522
Animation,175112
 Family,175112
Animation,82703
 Science Fiction,82703
 Comedy,82703
 Adventure,82703
 Family,82703
Animation,80321
 Family,80321
 Comedy,80321
 Adventure,80321
Animation,1181107
 Family,1181107
 Fantasy,1181107
 Drama,1181107
 Adventure,1181107
Family,893723
 Comedy,893723
 Adventure,893723
 Animation,893723
Animation,730840
 Fantasy,730840
 Family,730840
 Action,730840
 Adventure,730840
Animation,741074
 Family,741074
 Comedy,741074
 Fantasy,741074
Animation,229407
 Family,229407
 Comedy,229407
 Science Fiction,229407
Animation,15854
 Family,15854
 Action,15854
Animation,449406
 Family,449406
 Comedy,449406
Family,152581
 Animation,152581
 TV Movie,152581
Animation,82424
 Family,82424
 Comedy,82424
Animation,10258
 Comedy,10258
 Family,10258
Animation,23566
 Family,23566
Adventure,11619
 Animation,11619
 Comedy,11619
 Family,11619
Animation,17979
 Fantasy,17979
 Drama,17979
 Family,17979
Animation,1205229
 Comedy,1205229
 Horror,1205229
 Adventure,1205229
 Science Fiction,1205229
 Family,1205229
Animation,776835
 Adventure,776835
 Family,776835
 Fantasy,776835
 Comedy,776835
Animation,50393
 Family,50393
 TV Movie,50393
 Comedy,50393
 Fantasy,50393
Animation,13459
 Family,13459
Animation,13378
 Family,13378
Animation,13062
 Family,13062
 Music,13062
Animation,638507
 Fantasy,638507
 Adventure,638507
 Family,638507
Animation,53215
 Adventure,53215
 Comedy,53215
Animation,438695
 Music,438695
 Comedy,438695
 Family,438695
Animation,486589
 Fantasy,486589
 Family,486589
 Comedy,486589
 Romance,486589
 Adventure,486589
Animation,98622
 Science Fiction,98622
Animation,592867
 Adventure,592867
 Comedy,592867
 Fantasy,592867
 Action,592867
 Family,592867
Family,44874
 Animation,44874
Animation,34134
 Family,34134
 Fantasy,34134
Animation,15167
 Family,15167
Animation,9928
 Comedy,9928
 Family,9928
 Science Fiction,9928
Action,12244
 Adventure,12244
 Animation,12244
 Science Fiction,12244
 Thriller,12244
Family,270946
 Animation,270946
 Adventure,270946
 Comedy,270946
Animation,364689
 Family,364689
 Adventure,364689
 Comedy,364689
Adventure,10527
 Animation,10527
 Comedy,10527
 Family,10527
Animation,260514
 Drama,260514
 Family,260514
Adventure,105864
 Animation,105864
 Family,105864
Animation,1406657
 Action,1406657
 Drama,1406657
 Science Fiction,1406657
Animation,1107216
 Comedy,1107216
 Adventure,1107216
 Thriller,1107216
Animation,1040148
 Family,1040148
 Fantasy,1040148
 Comedy,1040148
Family,940551
 Comedy,940551
 Adventure,940551
 Animation,940551
Family,770254
 Animation,770254
 Adventure,770254
 Comedy,770254
Animation,732670
 Family,732670
 Science Fiction,732670
 Adventure,732670
 Comedy,732670
Animation,13284
 Family,13284
Adventure,953
 Animation,953
 Comedy,953
 Family,953
Animation,381693
 Family,381693
 Comedy,381693
Animation,48466
 Comedy,48466
 Family,48466
Family,502356
 Comedy,502356
 Adventure,502356
 Fantasy,502356
 Animation,502356
Animation,560050
 Adventure,560050
 Family,560050
 Fantasy,560050
Adventure,504997
 Animation,504997
 Comedy,504997
 Family,504997
 Science Fiction,504997
Animation,332718
 Action,332718
 Adventure,332718
 History,332718
Animation,57737
 Family,57737
 Fantasy,57737
Animation,10800
 Family,10800
Adventure,332210
 Animation,332210
 Comedy,332210
 Family,332210
Family,328111
 Comedy,328111
 Adventure,328111
 Animation,328111
Animation,574089
 Family,574089
 Drama,574089
Animation,1297763
 Action,1297763
 Science Fiction,1297763
Animation,1241982
 Adventure,1241982
 Family,1241982
 Comedy,1241982
 Fantasy,1241982
Action,1083862
 Animation,1083862
 Science Fiction,1083862
 Horror,1083862
Animation,877269
 Family,877269
 Adventure,877269
 Fantasy,877269
 Science Fiction,877269
Animation,779047
 Drama,779047
 Family,779047
 Romance,779047
Animation,728754
 Adventure,728754
 Comedy,728754
 Science Fiction,728754
 Drama,728754
 Family,728754
 Fantasy,728754
Animation,345637
 Family,345637
 Fantasy,345637
 Action,345637
Family,433471
 Fantasy,433471
 Animation,433471
 Comedy,433471
Animation,406785
 Family,406785
 Comedy,406785
Animation,161143
 Comedy,161143
 Family,161143
Animation,57718
 Action,57718
 Comedy,57718
 Family,57718
 Science Fiction,57718
Family,136799
 Animation,136799
 Fantasy,136799
 Adventure,136799
 Comedy,136799
 Music,136799
Action,409421
 Drama,409421
 Science Fiction,409421
 Animation,409421
Comedy,315064
 Animation,315064
 Adventure,315064
 Family,315064
Animation,18198
 Fantasy,18198
 Family,18198
Animation,153158
 Adventure,153158
 Romance,153158
Animation,25472
 Family,25472
Family,12589
 Comedy,12589
 Adventure,12589
 Animation,12589
 Science Fiction,12589
Animation,269650
 Science Fiction,269650
 Action,269650
Animation,192577
 Science Fiction,192577
Animation,109451
 Family,109451
 Comedy,109451
Animation,950
 Family,950
 Comedy,950
 Adventure,950
Animation,8355
 Comedy,8355
 Family,8355
 Adventure,8355
Animation,574091
 Family,574091
 Fantasy,574091
 Drama,574091
 Adventure,574091
Animation,1049082
 Comedy,1049082
 Drama,1049082
 Family,1049082
 Fantasy,1049082
Animation,795607
 Fantasy,795607
 Action,795607
 Adventure,795607
Animation,76492
 Comedy,76492
 Family,76492
 Fantasy,76492
Animation,13648
 Horror,13648
 Action,13648
 Science Fiction,13648
Family,70608
 Animation,70608
 Science Fiction,70608
Adventure,13394
 Animation,13394
 Comedy,13394
 Fantasy,13394
 Family,13394
Action,519182
 Animation,519182
 Comedy,519182
 Family,519182
 Science Fiction,519182
Animation,13934
 Comedy,13934
 Family,13934
 Horror,13934
Family,412117
 Comedy,412117
 Adventure,412117
 Animation,412117
Animation,24480
 Family,24480
 Comedy,24480
 Fantasy,24480
Animation,196254
 Family,196254
 Fantasy,196254
Family,446894
 Comedy,446894
 Adventure,446894
 Animation,446894
 Fantasy,446894
Animation,1214130
 Adventure,1214130
 Family,1214130
 Comedy,1214130
Comedy,1045644
 Family,1045644
 Animation,1045644
Animation,1029119
 Adventure,1029119
 Comedy,1029119
 Family,1029119
Action,1011985
 Adventure,1011985
 Animation,1011985
 Comedy,1011985
 Family,1011985
 Fantasy,1011985
Animation,857702
 Family,857702
 Science Fiction,857702
 Comedy,857702
Animation,54553
 Family,54553
 Comedy,54553
Animation,24589
 Comedy,24589
 Family,24589
Family,446893
 Animation,446893
 Comedy,446893
 Fantasy,446893
 Adventure,446893
 Music,446893
Animation,597398
 Drama,597398
 Adventure,597398
 Fantasy,597398
Family,527729
 Animation,527729
 Comedy,527729
