movie_index,production_company,movie_id
51,Ikki Films,682012
52,Studio Ghibli,11621
52,TOHO,11621
52,Tokuma Shoten,11621
52,Nibariki,11621
52,Mitsubishi,11621
52,Nippon Television Network Corporation,11621
53,Madhouse,10494
53,Rex Entertainment,10494
53,Kotobuki Seihan Printing,10494
53,Asahi Broadcasting Corporation,10494
53,Fangs,10494
53,ONIRO,10494
54,United Feature Syndicate,13353
54,Bill Melendez Productions,13353
54,Lee Mendelson Film Productions,13353
55,Walt Disney Feature Animation,812
56,Oh! Production,20722
57,Kinema Citrus,573730
57,KADOKAWA,573730
57,Takeshobo,573730
57,AT-X,573730
57,Sony Music Entertainment (Japan),573730
57,Kanetsu Investment,573730
57,Global Solutions,573730
57,KADOKAWA Media House,573730
57,Cygames,573730
58,Atresmedia,508965
58,The SPA Studios,508965
59,ufotable,635302
59,Aniplex,635302
59,Shueisha,635302
59,TOHO,635302
60,P.A.WORKS,476292
60,Bandai Visual,476292
60,Hakuhodo DY Music & Pictures,476292
60,Lantis,476292
60,Cygames,476292
60,Rakuonsha,476292
61,Walt Disney Productions,10895
62,Walt Disney Productions,408
63,SHAFT,212162
64,IFC Productions,9081
64,Thousand Words,9081
64,Detour Filmproduction,9081
64,Flat Black Films,9081
65,Studio Ghibli,37797
65,Nippon Television Network Corporation,37797
65,Tokuma Shoten,37797
65,Hakuhodo,37797
66,MBS,149
66,Sumitomo Corporation,149
66,TOHO,149
66,Kodansha,149
66,Tokyo Movie Shinsha,149
66,Bandai,149
66,Hakuhodo,149
66,LaserDisc Corporation,149
67,CoMix Wave Films,916224
67,Story,916224
67,Lawson Entertainment,916224
67,jeki,916224
67,voque ting,916224
67,KADOKAWA,916224
67,Aniplex,916224
67,TOHO,916224
68,Julianne Films,712454
68,Folivari,712454
68,Melusine Productions,712454
68,France 3 Cinéma,712454
68,Auvergne-Rhône-Alpes Cinéma,712454
68,Wild Bunch,712454
68,Palatine Étoile 17,712454
68,Cinémage 14 Développment,712454
68,Indéfilms 8,712454
69,Warner Bros. Animation,16234
70,STUDIO4℃,21712
70,Asmik Ace Entertainment,21712
70,Rentrak Japan,21712
70,Beyond C.,21712
71,Madhouse,13398
71,Sony Pictures,13398
71,dentsu,13398
71,GENCO,13398
72,Toei Animation,568012
72,Toei Company,568012
72,Shueisha,568012
72,Bandai,568012
72,Bandai Namco Entertainment,568012
73,GENCO,378108
73,MAPPA,378108
74,Madhouse,33320
75,Django Films,41201
75,France 3 Cinéma,41201
75,Ciné B,41201
75,Pathé,41201
76,Aircraft Pictures,435129
76,Cartoon Saloon,435129
76,Melusine Productions,435129
76,Jolie Pas,435129
76,GKIDS,435129
77,Wild Bunch,337703
77,Studio Ghibli,337703
77,Why Not Productions,337703
77,CN4 Productions,337703
77,Belvision,337703
77,ARTE France Cinéma,337703
77,Prima Linéa Productions,337703
78,Madhouse,4977
78,Sony Pictures,4977
79,Bandai Visual,9323
79,Production I.G,9323
79,Kodansha,9323
79,Manga Entertainment,9323
80,Walt Disney Feature Animation,10674
80,Walt Disney Pictures,10674
81,Studio Colorido,1575337
81,Studio Chromato,1575337
81,Twin Engine,1575337
82,Production I.G,1012201
82,TOHO,1012201
82,Shueisha,1012201
82,MBS,1012201
82,dentsu,1012201
82,Sony Music Entertainment (Japan),1012201
82,movic,1012201
83,TVC London,13396
83,Snowman Enterprises,13396
84,Studio Ghibli,16859
84,Nibariki,16859
84,Tokuma Shoten,16859
84,Nippon Television Network Corporation,16859
85,BONES,592350
85,dentsu,592350
85,movic,592350
85,Nippon Television Network Corporation,592350
85,Shueisha,592350
85,Sony Music Entertainment (Japan),592350
85,Yomiuri Telecasting Corporation,592350
85,TOHO,592350
86,CoMix Wave Films,568160
86,Story,568160
86,TOHO,568160
86,KADOKAWA,568160
86,jeki,568160
86,Lawson Entertainment,568160
86,"""Weathering With You"" Film Partners",568160
87,Penguin Books,10857
87,British Screen Productions,10857
87,TVC London,10857
87,Meltdown Productions,10857
87,Film4 Productions,10857
88,Les Armateurs,21348
88,Monipoly Productions,21348
88,France 3 Cinéma,21348
88,RTBF,21348
89,Nickelodeon Animation Studio,472983
90,BONES,13980
91,Madhouse,14282
91,Animate Film,14282
91,JVC,14282
91,movic,14282
92,Production I.G,14092
92,Manga Entertainment,14092
93,Walt Disney Productions,250480
94,Warner Bros. Animation,76589
94,Warner Premiere,76589
94,DC,76589
95,Studio Ghibli,149870
95,Nippon Television Network Corporation,149870
95,dentsu,149870
95,Hakuhodo DY Media Partners,149870
95,The Walt Disney Company (Japan),149870
95,d-rights,149870
95,TOHO,149870
96,Walt Disney Pictures,37135
96,Edgar Rice Burroughs Inc.,37135
96,Walt Disney Feature Animation,37135
97,Aniplex,1357633
97,A-1 Pictures,1357633
98,WIT STUDIO,1062807
98,CloverWorks,1062807
98,TOHO,1062807
98,Shueisha,1062807
98,TV Tokyo,1062807
98,Shogakukan-Shueisha Productions,1062807
99,BN Pictures,732203
99,Shueisha,732203
99,Aniplex,732203
99,TV Tokyo,732203
99,dentsu,732203
99,Bandai,732203
99,Warner Bros. Japan,732203
100,Studio Xilam,586940
100,Auvergne-Rhône-Alpes Cinéma,586940
101,TRIGGER,553600
101,XFLAG,553600
101,Sanzigen,553600
101,TOHO,553600
102,BONES,505262
102,Yomiuri Telecasting Corporation,505262
102,Shueisha,505262
102,Nippon Television Network Corporation,505262
102,dentsu,505262
102,Sony Music Entertainment (Japan),505262
102,movic,505262
102,TOHO,505262
103,Production I.G,18874
103,Bandai Visual,18874
103,dentsu,18874
103,Victor Entertainment,18874
103,Nippon Television Network Corporation,18874
103,Tokuma Shoten,18874
103,Bandai Entertainment,18874
103,Manga Entertainment,18874
104,StudioCanal,340357
104,Je suis bien content,340357
104,Kaïbou,340357
104,Need Productions,340357
104,ARTE France Cinéma,340357
104,Jouror Distribution,340357
104,RTBF,340357
104,Proximus,340357
104,Tchack,340357
105,Argos films,16306
105,Les Films Armorial,16306
105,ORTF,16306
105,Krátký film Praha – Studio Jiřího Trnky,16306
105,INA,16306
106,Disney Television Animation,71689
106,Disney Channel,71689
107,Hanna-Barbera Cartoons,13151
107,Warner Bros. Family Entertainment,13151
108,Toei Animation,11049
108,Daft Life,11049
109,Brain's Base,92321
110,Cartoon Saloon,26963
110,Gébéka Films,26963
110,Les Armateurs,26963
110,Vivi Film,26963
110,France 2 Cinéma,26963
110,Celluloid Dreams,26963
110,RTÉ,26963
110,Fís Éireann/Screen Ireland,26963
111,United Artists,11704
111,Aurora,11704
111,Don Bluth Entertainment,11704
111,Mrs. Brisby,11704
111,Metro-Goldwyn-Mayer,11704
112,Studio Ghibli,242828
112,Hakuhodo DY Media Partners,242828
112,KDDI,242828
112,Nippon Television Network Corporation,242828
112,TOHO,242828
112,dentsu,242828
112,The Walt Disney Company (Japan),242828
112,Mitsubishi,242828
113,Nippon Television Network Corporation,315465
113,Studio Chizu,315465
