movie_index,production_company,movie_id
0,Columbia Pictures,569094
0,Sony Pictures Animation,569094
0,Lord Miller,569094
0,Pascal Pictures,569094
0,Arad Productions,569094
0,Marvel Entertainment,569094
1,Columbia Pictures,324857
1,Lord Miller,324857
1,Pascal Pictures,324857
1,Sony Pictures Animation,324857
1,Arad Productions,324857
1,Marvel Entertainment,324857
2,DreamWorks Animation,1184918
3,Dream Well Studio,823219
3,Sacrebleu Productions,823219
3,Take Five,823219
3,ARTE France Cinéma,823219
3,RTBF,823219
4,Pixar,2062
5,Pixar,354912
6,Pixar,14160
7,Pixar,12
8,Pixar,150540
9,Pixar,862
10,Pixar,301528
11,Pixar,863
12,Pacific Data Images,808
12,DreamWorks Animation,808
12,DreamWorks Pictures,808
13,Pixar,10193
14,Pixar,399106
15,Pixar,9806
16,Walt Disney Animation Studios,1084242
16,Walt Disney Animation Studios,1084242
17,Pixar,585
18,DreamWorks Animation,315162
19,Pixar,508442
20,DreamWorks Animation,82702
21,DreamWorks Animation,10191
22,Walt Disney Animation Studios,269149
23,Pixar,13042
24,Lord Miller,501929
24,Columbia Pictures,501929
24,Sony Pictures Animation,501929
24,One Cool Films,501929
25,Pixar,1327819
26,Sony Pictures Animation,803796
27,Walt Disney Animation Studios,527774
28,Walt Disney Animation Studios,277834
29,Warner Bros. Animation,736073
29,DC,736073
30,Paramount Animation,698687
30,di Bonaventura Pictures,698687
30,DeSanto/Murphy Productions,698687
30,Bay Films,698687
30,New Republic Pictures,698687
30,Hasbro Entertainment,698687
31,Pixar,514754
32,Pixar,83564
33,Pixar,260513
34,DreamWorks Animation,166428
35,Walt Disney Animation Studios,38757
35,Walt Disney Pictures,38757
36,Grasp The Nettle Films,1234397
36,Project 1961,1234397
36,Park Pictures Features,1234397
36,Spark Features,1234397
36,Hazel Pictures,1234397
36,Doc Society,1234397
37,Pixar,1022789
38,Walt Disney Animation Studios,568124
39,Pixar,13929
40,Pixar,13930
41,Walt Disney Animation Studios,177572
42,Chengdu Coco Cartoon,980477
42,Beijing Enlight Pictures,980477
42,Beijing Enlight Media,980477
42,Chengdu Zizai Jingjie Culture Media,980477
42,Beijing Coloroom Technology,980477
43,Warner Bros. Animation,886396
43,DC,886396
44,Toei Animation,610150
44,Shueisha,610150
44,Fuji Television Network,610150
44,Bandai Namco Entertainment,610150
44,Toei Company,610150
44,Bandai,610150
44,Bandai Spirits,610150
45,Pixar,213121
45,Disney Television Animation,213121
45,Walt Disney Pictures,213121
46,Pixar,13060
47,Paramount Pictures,44896
47,Blind Wink,44896
47,Nickelodeon Movies,44896
47,GK Films,44896
48,DreamWorks Animation,9502
49,Walt Disney Animation Studios,82690
50,Netflix,560057
51,Pixar,508943
52,Pixar,62211
53,DreamWorks Animation,809
53,Pacific Data Images,809
54,Pixar,508947
55,Pixar,13933
56,Pixar,200481
57,Paramount Pictures,614930
57,Nickelodeon Movies,614930
57,Point Grey Pictures,614930
57,Cinesite Animation,614930
57,Mikros Animation,614930
58,Beijing Enlight Pictures,615453
58,Horgos Coloroom Pictures,615453
58,October Media,615453
58,Chengdu Coco Cartoon,615453
59,Reel FX Creative Studios,228326
59,20th Century Fox Animation,228326
59,Chatrone,228326
60,Pixar,9487
61,Pixar,127380
62,Sony Pictures Animation,1297842
62,Unanimous Media,1297842
62,Modern Magic,1297842
62,Columbia Pictures,1297842
62,MACRO,1297842
62,TSG Entertainment,1297842
63,Glanderco,1235137
64,Sony Pictures Animation,1106299
64,Sony Pictures Imageworks,1106299
64,Sony Pictures Imageworks,1106299
65,Tsuburaya Productions,829402
65,Netflix,829402
66,Pixar,13413
67,Locksmith Animation,482321
67,TSG Entertainment,482321
67,DNEG,482321
68,Pixar,13932
