movie_id,rating
569094,PG
324857,PG
1184918,PG
823219,PG
2062,G
354912,PG
14160,PG
12,G
150540,PG
862,G
301528,G
863,G
808,PG
10193,G
399106,G
9806,PG
1084242,PG
585,G
315162,PG
508442,PG
82702,PG
10191,PG
269149,PG
13042,G
501929,PG
1327819,PG
803796,PG
527774,PG
277834,PG
736073,PG-13
698687,PG
514754,G
83564,G
260513,PG
166428,PG
38757,PG
1234397,R
1022789,PG
568124,PG
13929,G
13930,G
177572,PG
980477,NR
886396,PG-13
610150,PG-13
213121,G
13060,G
44896,PG
9502,PG
82690,PG
560057,PG
508943,PG
62211,G
809,PG
508947,PG
13933,G
200481,G
614930,PG
615453,NR
228326,PG
9487,G
127380,PG
1297842,PG
1235137,PG-13
1106299,NR
829402,PG
13413,G
482321,PG
13932,NR
324849,PG
19026,
433694,PG
15165,G
13002,G
49444,PG
20352,PG
109445,PG
1588237,NR
1383072,
1299652,R
17578,PG
13004,G
614587,PG-13
330457,PG
73456,G
51052,PG
920,G
1175942,PG
1167307,PG
1155058,R
774370,PG
597316,PG
425,PG
13928,G
82881,G
91417,G
629542,PG
508439,PG
265712,
25475,G
13179,G
647,PG-13
140300,PG
1117857,PG
26809,G
77459,PG
81188,PG
62177,PG
286192,G
46247,G
13925,G
79000,
38055,PG
93456,PG
1432547,R
1022787,PG
539681,PG
431580,PG
404368,PG
24528,PG
283161,PG
15906,G
133121,R
396263,NC-17
75258,G
13053,PG
901362,PG
13981,PG-13
550205,PG
560044,PG
431693,PG
523777,PG
77887,G
13283,G
204436,PG
44683,G
297270,G
227973,G
1075794,PG
976573,PG
844075,NR
718789,PG
663558,
46195,G
12222,G
1267,G
8916,PG
13931,G
83201,G
438148,PG
529203,PG
573699,G
13285,G
15015,G
9408,PG
7518,PG
417859,PG
22794,PG
49519,PG
335797,PG
1139829,PG
645757,PG
675445,G
5255,G
9297,PG
17963,
326359,G
456154,PG
454640,PG
54551,G
15016,G
177271,G
170522,
175112,G
82703,PG
80321,PG
1181107,PG
893723,PG
730840,PG
741074,G
229407,G
15854,PG
449406,PG
152581,NR
82424,G
10258,G
23566,G
11619,PG
17979,PG
1205229,PG
776835,PG
50393,G
13459,G
13378,G
13062,G
638507,PG
53215,
438695,PG
486589,PG
98622,
592867,PG
44874,G
34134,G
15167,G
9928,PG
12244,PG-13
270946,PG
364689,PG
10527,PG
260514,G
105864,PG
1406657,PG-13
1107216,PG
1040148,PG
940551,PG
770254,PG
732670,G
13284,G
953,PG
381693,G
48466,PG
502356,PG
560050,PG
504997,NR
332718,PG-13
57737,G
10800,PG
332210,PG
328111,PG
574089,PG
1297763,PG-13
1241982,PG
1083862,R
877269,PG
779047,G
728754,
345637,G
433471,G
406785,
161143,G
57718,PG
136799,PG
409421,PG-13
315064,PG
18198,G
153158,PG
25472,PG
12589,G
269650,R
192577,PG-13
109451,PG
950,PG
8355,PG
574091,G
1049082,
795607,
76492,PG
13648,R
70608,G
13394,PG
519182,PG
13934,G
412117,PG
24480,G
196254,G
446894,PG
1214130,PG
1045644,G
1029119,PG
1011985,PG
857702,G
54553,G
24589,G
446893,PG
597398,NR
527729,
360920,PG
21705,G
485942,PG-13
41216,PG
15512,PG
77950,PG
1226863,PG
676710,PG
27357,
48329,
54559,G
13927,G
130925,G
136406,G
523536,PG-13
13061,G
15173,G
13391,PG-13
33427,G
202575,G
2310,PG-13
116711,PG
73723,PG
211672,PG
532952,PG
876716,PG
667717,PG-13
55692,
15990,
58515,
98857,G
355338,G
665251,R
228161,PG
16962,G
227200,G
79433,R
285733,G
449574,PG-13
413644,PG
400136,R
16577,PG
390734,PG-13
10192,PG
49013,G
45745,PG
635389,
598387,PG
289280,
459003,PG
13926,G
421456,
13379,G
255718,G
11633,R
342473,PG
223702,R
574093,PG
832502,PG
549484,G
637693,PG
10199,G
2114,PG-13
16873,PG
10982,PG
229408,G
546728,PG
528644,G
460793,G
129533,G
9904,G
400155,PG
159824,PG
1371727,G
1123093,PG
31160,NR
810,PG
7484,PG
79516,R
366672,PG
585083,PG
168903,G
114478,R
121734,PG
355547,PG
45772,G
172385,G
