,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
39,572154,40,0,Rascal Does Not Dream of a Dreaming Girl,Released,jp,tt9881586,90.0,,ja,movie,2019-06-15,2019.0,ja,tt9881586,572154,,1i0j
40,618344,41,0,Justice League Dark: Apokolips War,Released,us,tt11079148,90.0,133847.0,en,movie,2020-05-05,2020.0,en,tt11079148,618344,133847.0,1h5g
41,537061,42,0,Steven Universe: The Movie,Released,us,tt10515852,83.0,131283.0,en,movie,2019-10-07,2019.0,en,tt10515852,537061,131283.0,1c07
42,13187,43,0,A Charlie Brown Christmas,Released,us,tt0059026,25.0,,en,movie,1965-12-09,1965.0,en,tt0059026,13187,,1630
43,36865,44,0,The Disappearance of Haruhi Suzumiya,released,jp,tt1572781,162.0,13290.0,ja,movie,2010-02-05,2010.0,ja,tt1572781,36865,13290.0,4xp
44,9662,45,0,The Triplets of Belleville,released,fr,tt0286244,80.0,9167.0,fr,movie,2003-06-11,2003.0,fr,tt0286244,9662,9167.0,41b
45,15080,46,0,Only Yesterday,Released,jp,tt0102587,119.0,6540.0,ja,movie,1991-07-20,1991.0,ja,tt0102587,15080,6540.0,3lk
46,110416,47,0,Song of the Sea,released,ie,tt1865505,94.0,4346.0,en,movie,2014-06-23,2014.0,en,tt1865505,110416,4346.0,1vd
47,10515,48,0,Castle in the Sky,released,jp,tt0092067,125.0,1441.0,ja,movie,1986-08-02,1986.0,ja,tt0092067,10515,1441.0,19h
48,12429,49,0,Ponyo,Released,jp,tt0876563,100.0,370.0,ja,movie,2008-07-19,2008.0,ja,tt0876563,12429,370.0,16f
49,838240,50,0,Robot Dreams,released,es,tt13429870,102.0,351505.0,es,movie,2023-12-06,2023.0,xx,tt13429870,838240,351505.0,2qzql
50,812225,51,0,Black Clover: Sword of the Wizard King,Released,jp,tt22868844,113.0,340702.0,ja,movie,2023-06-16,2023.0,ja,tt22868844,812225,340702.0,2ojh1
51,682012,52,0,Little Amélie or the Character of Rain,Released,fr,tt29313285,78.0,349854.0,fr,movie,2025-06-25,2025.0,fr,tt29313285,682012,349854.0,2nduc
52,11621,53,0,Porco Rosso,released,jp,tt0104652,93.0,2298.0,ja,movie,1992-07-18,1992.0,ja,tt0104652,11621,2298.0,c2ju
53,10494,54,0,Perfect Blue,Released,jp,tt0156887,82.0,3807.0,ja,movie,1998-02-28,1998.0,ja,tt0156887,10494,3807.0,bsgx
54,13353,55,0,"It's the Great Pumpkin, Charlie Brown",Released,us,tt0060550,25.0,,en,movie,1966-10-27,1966.0,en,tt0060550,13353,,bo7v
