,Year,Index,dollar_worth_2025
0,1913.0,9.883333333333335,32.58045055649241
1,1914.0,10.016666666666667,32.14676735440931
2,1915.0,10.108333333333333,31.85524679307502
3,1916.0,10.883333333333333,29.586841010719755
4,1917.0,12.825000000000001,25.107481715399608
5,1918.0,15.041666666666666,21.40743177839335
6,1919.0,17.333333333333332,18.57712228846154
7,1920.0,20.041666666666668,16.066700357588353
8,1921.0,17.849999999999998,18.03940913165266
9,1922.0,16.75,19.224086746268654
10,1923.0,17.05,18.885833020527855
11,1924.0,17.125,18.80312134306569
12,1925.0,17.541666666666668,18.3564913824228
13,1926.0,17.7,18.19228548022599
14,1927.0,17.358333333333334,18.55036695151224
15,1928.0,17.158333333333335,18.76659269548324
16,1929.0,17.158333333333335,18.76659269548324
17,1930.0,16.7,19.28164389221557
18,1931.0,15.208333333333334,21.172829786301367
19,1932.0,13.641666666666666,23.60440706169823
20,1933.0,12.933333333333332,24.89717420103093
21,1934.0,13.383333333333333,24.06003384806974
22,1935.0,13.725,23.461089471766847
23,1936.0,13.866666666666667,23.22140286057692
24,1937.0,14.383333333333333,22.38726208574739
25,1938.0,14.091666666666667,22.850629426374926
26,1939.0,13.908333333333333,23.151836045536246
27,1940.0,14.008333333333333,22.986564164187982
28,1941.0,14.725,21.867806655348044
29,1942.0,16.333333333333332,19.714497122448982
30,1943.0,17.308333333333334,18.60395491574386
31,1944.0,17.591666666666665,18.304317555660827
32,1945.0,17.991666666666667,17.897366540064844
33,1946.0,19.516666666666666,16.498895969257045
34,1947.0,22.325,14.423446942889138
35,1948.0,24.041666666666668,13.393557837088386
36,1949.0,23.808333333333334,13.524821267063352
37,1950.0,24.066666666666666,13.379644861495844
38,1951.0,25.958333333333332,12.404627402889245
39,1952.0,26.55,12.128190320150658
40,1953.0,26.766666666666666,12.03001692403487
41,1954.0,26.849999999999998,11.99267981378026
42,1955.0,26.775000000000002,12.026272754435107
43,1956.0,27.183333333333334,11.845620588595953
44,1957.0,28.09166666666667,11.46259696232572
45,1958.0,28.858333333333334,11.158075183367021
46,1959.0,29.150000000000002,11.04643063464837
47,1960.0,29.575,10.887690718512257
48,1961.0,29.891666666666666,10.772348580986897
49,1962.0,30.25,10.644742247933884
50,1963.0,30.625,10.514398465306122
51,1964.0,31.016666666666666,10.381626641590543
52,1965.0,31.508333333333336,10.219628235916423
53,1966.0,32.458333333333336,9.920517165596918
54,1967.0,33.358333333333334,9.652863942043465
55,1968.0,34.78333333333333,9.257406411116435
56,1969.0,36.68333333333333,8.777922389822809
57,1970.0,38.824999999999996,8.293714179008372
58,1971.0,40.49166666666667,7.952338826919118
59,1972.0,41.81666666666667,7.700361570346751
60,1973.0,44.4,7.252330022522523
61,1974.0,49.30833333333334,6.53040634781139
62,1975.0,53.81666666666666,5.983340718488696
63,1976.0,56.90833333333333,5.658282963830721
64,1977.0,60.60833333333333,5.312857742334662
65,1978.0,65.23333333333333,4.936179657639244
66,1979.0,72.575,4.436837106441612
67,1980.0,82.40833333333333,3.907413728385074
68,1981.0,90.925,3.541418234808908
69,1982.0,96.5,3.3368233471502586
70,1983.0,99.60000000000001,3.232966395582329
71,1984.0,103.88333333333333,3.099664235520616
72,1985.0,107.56666666666666,2.993524508831732
73,1986.0,109.60833333333333,2.937764339694366
74,1987.0,113.625,2.8339137777777776
75,1988.0,118.25833333333333,2.7228817109435557
76,1989.0,123.96666666666665,2.5975002930895403
77,1990.0,130.65833333333333,2.4644693130939475
78,1991.0,136.19166666666666,2.364340351220706
79,1992.0,140.31666666666666,2.2948339684047987
80,1993.0,144.45833333333334,2.229040343813095
81,1994.0,148.225,2.172396377129364
82,1995.0,152.38333333333333,2.1131146428962047
83,1996.0,156.85,2.05293881415365
84,1997.0,160.51666666666668,2.0060437316997195
85,1998.0,163.00833333333333,1.975380315934768
86,1999.0,166.57500000000002,1.9330839141527836
87,2000.0,172.20000000000002,1.8699387514517998
88,2001.0,177.0666666666667,1.81854359751506
89,2002.0,179.875,1.790151232800556
90,2003.0,183.95833333333334,1.7504151465458662
91,2004.0,188.88333333333333,1.7047743033618636
92,2005.0,195.29166666666666,1.6488335549391935
93,2006.0,201.59166666666667,1.5973053763796452
94,2007.0,207.34241666666665,1.5530032791971733
95,2008.0,215.3025,1.495586224033627
96,2009.0,214.537,1.5009226986487176
97,2010.0,218.05550000000002,1.476704109733531
98,2011.0,224.93916666666667,1.4315134966120469
99,2012.0,229.59391666666667,1.4024912230906232
100,2013.0,232.95708333333334,1.3822436664836333
101,2014.0,236.73616666666666,1.3601785377111086
102,2015.0,237.01700000000002,1.358566908702751
103,2016.0,240.00716666666665,1.341640991275955
104,2017.0,245.11958333333334,1.3136586176475087
105,2018.0,251.10683333333336,1.2823364809533258
106,2019.0,255.65741666666668,1.259511486888867
107,2020.0,258.8111666666667,1.244163677893857
108,2021.0,270.96975000000003,1.1883372701196349
109,2022.0,292.6549166666667,1.1002837631009672
110,2023.0,304.7015833333333,1.0567829988849746
111,2024.0,313.537929,1.026999999735279
112,2025.0,322.003453,1.0
